GrainType,ID,Area,Perimeter,Circularity,IsOutlier
Basmati,76,2297,241.155,0.496337,0
Basmati,77,2666,229.647,0.635258,0
Basmati,78,2303.5,232.413,0.53589,0
Basmati,79,1425,159.771,0.701505,1
Basmati,80,2133,236.322,0.479945,0
Basmati,81,2252.5,239.01,0.495498,0
Basmati,82,1025.5,134.53,0.712043,1
Basmati,83,2130,217.574,0.565424,0
Basmati,84,2419.5,243.483,0.512859,0
Basmati,85,2470.5,243.815,0.522244,0
Basmati,86,984.5,137.497,0.654398,1
Basmati,87,1607.5,189.834,0.560548,0
Basmati,88,2352.5,227.099,0.573205,0
Basmati,89,2245,236.441,0.504638,0
Basmati,90,2690,253.6,0.525609,0
Basmati,91,1920.5,210.764,0.54329,0
Basmati,92,2460,243.327,0.522113,0
Basmati,93,2364,250.096,0.474945,0
Basmati,94,2274,225.976,0.5596,0
Basmati,95,2444,236.787,0.547765,0
Basmati,96,2038.5,215.051,0.55391,0
Basmati,97,2323.5,237.287,0.518566,0
Basmati,98,2389.5,234.058,0.548111,0
Basmati,99,2433.5,236.897,0.544908,0
Basmati,100,2234,233.995,0.51272,0
Basmati,101,2765.5,235.109,0.628704,0
Basmati,102,2436.5,236.488,0.547468,0
Basmati,103,2021,216.846,0.540097,0
Basmati,104,2277,236.087,0.513366,0
Basmati,105,1554,173.741,0.646931,0
Basmati,106,2322.5,242.55,0.496093,0
Basmati,107,1803.5,199.712,0.56822,0
Basmati,108,2637.5,252.656,0.519212,0
Basmati,109,1885,214.09,0.516808,0
Basmati,110,1974.5,220.343,0.511055,0
Basmati,111,2123.5,227.397,0.516049,0
Basmati,112,2046,225.109,0.507375,0
Basmati,113,1947,225.349,0.481799,0
Basmati,114,1901,214.27,0.520318,0
Basmati,115,1849.5,218.804,0.48546,0
Basmati,116,862.5,125.02,0.69344,1
Basmati,117,2400.5,238.764,0.529142,0
Basmati,118,796.5,114.75,0.760132,1
Basmati,119,2363,234.704,0.539053,0
Basmati,120,2503,249.521,0.505193,0
Basmati,121,1846.5,206.989,0.541581,0
Basmati,122,2089.5,213.931,0.573725,0
Basmati,123,935,125.385,0.747365,1
Camargue,0,2987.5,230.508,0.706555,0
Camargue,1,2944.5,217.367,0.78313,0
Camargue,2,2754,211.086,0.776705,0
Camargue,3,2812.5,214.075,0.771207,0
Camargue,4,2560,217.097,0.68256,0
Camargue,5,3124,228.19,0.753922,0
Camargue,6,3043,226.142,0.74774,0
Camargue,7,3154,230.258,0.747554,0
Camargue,8,2612,207.774,0.760325,0
Camargue,9,2503,220.242,0.64844,0
Camargue,10,2966,222.825,0.750679,0
Camargue,11,2887.5,216.177,0.776449,0
Camargue,12,2641,212.607,0.734216,0
Camargue,13,3278.5,237.989,0.727398,0
Camargue,14,2396,201.382,0.742428,0
Camargue,15,2690.5,214.328,0.736014,0
Camargue,16,2718.5,225.25,0.673304,0
Camargue,17,3368.5,238.029,0.747112,0
Camargue,18,1549.5,151.679,0.846349,1
Camargue,19,2386.5,205.101,0.712909,0
Camargue,20,2567.5,210.297,0.729549,0
Camargue,21,1151.5,126.702,0.901374,1
Camargue,22,3004,222.25,0.764232,0
Camargue,23,2045,184.744,0.752947,0
Camargue,24,2484.5,205.273,0.740944,0
Camargue,25,2811.5,218.255,0.741685,0
Camargue,26,2553,215.907,0.688219,0
Camargue,27,2683.5,212.082,0.749731,0
Camargue,28,2447.5,213.966,0.671808,0
Camargue,29,2973,221.002,0.764917,0
Camargue,30,2661.5,220.876,0.68555,0
Camargue,31,1133.5,125.113,0.909964,1
Camargue,32,3011.5,226.203,0.739601,0
Camargue,33,2990.5,224.326,0.746784,0
Camargue,34,2945,224.098,0.736919,0
Camargue,35,2663.5,222.623,0.675341,0
Camargue,36,2588.5,214.249,0.708634,0
Camargue,37,3152,232.208,0.734583,0
Camargue,38,2817,228.649,0.677109,0
Camargue,39,2443.5,203.709,0.739946,0
Camargue,40,2514,210.228,0.714816,0
Camargue,41,3187.5,227.986,0.770623,0
Camargue,42,2993,225.223,0.741463,0
Camargue,43,1749.5,160.884,0.849371,0
Camargue,44,2724.5,227.881,0.659298,0
Camargue,45,889.5,117.948,0.80348,1
Camargue,46,1286,139.096,0.83526,1
Camargue,47,3011.5,223.643,0.756631,0
Camargue,48,3075.5,248.045,0.62815,0
Camargue,49,2907,225.013,0.721508,0
Camargue,50,2424.5,211.594,0.680496,0
Camargue,51,2970.5,219.423,0.775306,0
Camargue,52,3335.5,237.835,0.741002,0
Camargue,53,2791,214.646,0.761242,0
Camargue,54,2851,226.31,0.699521,0
Camargue,55,2710,217.656,0.718847,0
Camargue,56,3269.5,238.17,0.724299,0
Camargue,57,3192,233.756,0.734084,0
Camargue,58,2420.5,208.847,0.697365,0
Camargue,59,2975.5,225.035,0.73836,0
Camargue,60,3160,230.442,0.747778,0
Camargue,61,2937.5,223.064,0.74187,0
Camargue,62,2998,231.884,0.70065,0
Camargue,63,3074.5,229.02,0.736607,0
Camargue,64,2213,212.247,0.617316,0
Camargue,65,2337.5,191.588,0.800247,0
Camargue,66,2884.5,221.685,0.737579,0
Camargue,67,2844,213.984,0.78051,0
Camargue,68,2985,224.726,0.742759,0
Camargue,69,3288.5,237.701,0.731385,0
Camargue,70,3034.5,225.012,0.753159,0
Camargue,71,2367.5,197.423,0.763314,0
Camargue,72,2334,215.131,0.63373,0
Camargue,73,2849.5,218.647,0.749014,0
Camargue,74,1766.5,178.78,0.694518,0
Camargue,75,2355.5,198.25,0.753127,0
Camargue,76,2991,224.683,0.744539,0
Camargue,77,3098,228.156,0.747874,0
Camargue,78,2449.5,228.567,0.589199,0
Camargue,79,2139,194.568,0.710029,0
Camargue,80,2947,225.338,0.729323,0
Camargue,81,3139,262.229,0.573638,0
Camargue,82,3046.5,227.219,0.741521,0
Camargue,83,3037,222.873,0.768314,0
Camargue,84,2950.5,224.42,0.736174,0
Camargue,85,3365.5,237.231,0.751476,0
Camargue,86,1044.5,121.022,0.896163,1
Camargue,87,2455.5,211.362,0.690713,0
Camargue,88,2570.5,210.001,0.732465,0
Camargue,89,2800,223.552,0.704062,0
Camargue,90,2831.5,224.191,0.707927,0
Camargue,91,3125,226.07,0.768378,0
Camargue,92,2696,212.403,0.750944,0
Camargue,93,2385,208.982,0.686249,0
Camargue,94,2206.5,205.118,0.659033,0
Camargue,95,2376.5,202.562,0.72783,0
Camargue,96,3144.5,230.731,0.742252,0
Camargue,97,3040,228.303,0.732928,0
Camargue,98,3210,228.41,0.773185,0
Camargue,99,2961,227.602,0.718286,0
Camargue,100,2634,233.83,0.605375,0
Camargue,101,2915,218.632,0.76634,0
Camargue,102,2720.5,214.859,0.740544,0
Camargue,103,2922,221.107,0.751077,0
Camargue,104,2803.5,212.139,0.782837,0
Camargue,105,2429.5,205.504,0.722912,0
Camargue,106,3078,225.387,0.761413,0
Camargue,107,2786.5,216.153,0.749454,0
Camargue,108,909.5,112.197,0.907927,1
Camargue,109,2633.5,213.526,0.725842,0
Camargue,110,2857,214.121,0.783075,0
Camargue,111,1395,149.959,0.779539,1
